num_vuelo;dia_sem;destino;codigo;opera_desde;opera_hasta;hora_salida;aeronave;pais;origen
  IBB523;3;GRAN CANARIA;LPA;2022-01-12;2022-03-23;17:00;AT7;ESPANIA;ACE
  IBB523;5;GRAN CANARIA;LPA;2022-02-25;2022-03-25;17:00;AT7;ESPANIA;ACE
  IBB523;6;GRAN CANARIA;LPA;2022-03-05;2022-03-26;17:00;AT7;ESPANIA;ACE
  IBB525;5;GRAN CANARIA;LPA;2021-11-05;2022-03-25;18:15;AT7;ESPANIA;ACE
  IBB531;5;GRAN CANARIA;LPA;2022-01-07;2022-03-25;19:30;AT7;ESPANIA;ACE
  IBB537;6;GRAN CANARIA;LPA;2022-03-05;2022-03-26;21:30;AT7;ESPANIA;ACE
  EWG7089;7;HAMBURGO/ FUHLSBUETTEL;HAM;2021-10-31;2022-03-20;11:10;32A;ALEMANIA;ACE
  CFG1439;5;HAMBURGO/ FUHLSBUETTEL;HAM;2022-02-25;2022-03-25;13:45;320;ALEMANIA;ACE
  EWG7089;2;HAMBURGO/ FUHLSBUETTEL;HAM;2022-02-01;2022-03-22;14:45;32A;ALEMANIA;ACE
  CFG1439;2;HAMBURGO/ FUHLSBUETTEL;HAM;2022-03-08;2022-03-15;15:20;320;ALEMANIA;ACE
  CXI2249;5;HANNOVER;HAJ;2022-03-04;2022-03-25;11:45;73H;ALEMANIA;ACE
  TUI2188;3;HANNOVER;HAJ;2022-03-02;2022-03-16;12:15;7S8;ALEMANIA;ACE
  CXI2226;2;HANNOVER;HAJ;2022-03-01;2022-03-22;17:35;73H;ALEMANIA;ACE
  TUI2189;7;HANNOVER;HAJ;2022-02-27;2022-03-20;19:05;7S8;ALEMANIA;ACE
  ENT7502;6;KATOWICE / PYRZOWICE;KTW;2022-03-05;2022-03-26;19:00;738;POLONIA;ACE
  EXS218;6;LEEDS /LEEDS-BRADFORD;LBA;2022-01-08;2022-03-26;15:10;73H;REINO-UNIDO;ACE
  EXS218;2;LEEDS /LEEDS-BRADFORD;LBA;2022-01-18;2022-03-22;15:10;73H;REINO-UNIDO;ACE
  EXS218;4;LEEDS /LEEDS-BRADFORD;LBA;2021-12-30;2022-03-24;15:55;73H;REINO-UNIDO;ACE
  RYR3603;6;LISBOA;LIS;2022-02-05;2022-03-26;9:20;73H;PORTUGAL;ACE
  RYR3603;4;LISBOA;LIS;2022-02-03;2022-03-24;9:50;73H;PORTUGAL;ACE
  RYR3603;2;LISBOA;LIS;2022-02-01;2022-03-22;14:50;73H;PORTUGAL;ACE
  RYR3812;2;LIVERPOOL /INTERNACIONAL;LPL;2022-02-01;2022-03-22;11:05;73H;REINO-UNIDO;ACE
  RYR3812;4;LIVERPOOL /INTERNACIONAL;LPL;2022-02-03;2022-03-24;11:20;73H;REINO-UNIDO;ACE
  RYR3812;6;LIVERPOOL /INTERNACIONAL;LPL;2022-02-05;2022-03-26;11:30;73H;REINO-UNIDO;ACE
  EZY7154;7;LIVERPOOL /INTERNACIONAL;LPL;2021-10-31;2022-03-20;11:55;320;REINO-UNIDO;ACE
  EZY7154;2;LIVERPOOL /INTERNACIONAL;LPL;2022-02-08;2022-03-22;18:45;320;REINO-UNIDO;ACE
  BAW2733;5;LONDRES / HEATHROW;LHR;2021-12-24;2022-03-25;12:15;320;REINO-UNIDO;ACE
  BAW2733;4;LONDRES / HEATHROW;LHR;2022-03-03;2022-03-24;12:15;320;REINO-UNIDO;ACE
  BAW2733;3;LONDRES / HEATHROW;LHR;2022-03-09;2022-03-09;12:15;320;REINO-UNIDO;ACE
  BAW2733;7;LONDRES / HEATHROW;LHR;2022-03-13;2022-03-20;13:05;32N;REINO-UNIDO;ACE
  BAW2733;6;LONDRES / HEATHROW;LHR;2022-03-12;2022-03-26;13:40;32N;REINO-UNIDO;ACE
  EZY2026;4;LONDRES /LUTON APT;LTN;2022-02-10;2022-03-24;11:50;320;REINO-UNIDO;ACE
  EZY2026;1;LONDRES /LUTON APT;LTN;2022-03-07;2022-03-21;17:05;320;REINO-UNIDO;ACE
  RYR3512;2;LONDRES /LUTON APT;LTN;2022-02-01;2022-03-22;17:40;73H;REINO-UNIDO;ACE
  EZY2026;3;LONDRES /LUTON APT;LTN;2022-02-09;2022-03-23;17:55;320;REINO-UNIDO;ACE
  RYR3512;6;LONDRES /LUTON APT;LTN;2022-02-05;2022-03-26;19:10;73H;REINO-UNIDO;ACE
  EZY2026;6;LONDRES /LUTON APT;LTN;2022-01-01;2022-03-26;20:00;320;REINO-UNIDO;ACE
  RYR8289;4;LONDRES /STANSTED;STN;2022-02-03;2022-03-24;11:15;7M8;REINO-UNIDO;ACE
  RYR8289;2;LONDRES /STANSTED;STN;2022-02-15;2022-03-22;11:55;7M8;REINO-UNIDO;ACE
  RYR8289;7;LONDRES /STANSTED;STN;2022-02-06;2022-03-20;12:05;7M8;REINO-UNIDO;ACE
  EXS1402;6;LONDRES /STANSTED;STN;2022-01-08;2022-03-26;12:10;73H;REINO-UNIDO;ACE
  RYR8289;6;LONDRES /STANSTED;STN;2022-02-12;2022-03-26;12:10;7M8;REINO-UNIDO;ACE
  EXS1402;7;LONDRES /STANSTED;STN;2022-02-13;2022-03-20;12:10;73H;REINO-UNIDO;ACE
  RYR8289;5;LONDRES /STANSTED;STN;2022-01-07;2022-03-25;12:20;7M8;REINO-UNIDO;ACE
  EXS1402;4;LONDRES /STANSTED;STN;2021-11-04;2022-03-24;15:25;73H;REINO-UNIDO;ACE
  RYR251;6;LONDRES /STANSTED;STN;2022-02-05;2022-03-26;17:10;7M8;REINO-UNIDO;ACE
  RYR251;7;LONDRES /STANSTED;STN;2021-11-07;2022-03-20;17:25;320;REINO-UNIDO;ACE
