Destino;Codigo;Dia_semana;Opera_desde;Opera_hasta;Hora_Salida;Aeronave;Num_vuelo;Pais;Origen
GRAN CANARIA;LPA;    V  ;10/12/2021;25/03/2022;13:15;AT7;  IBB517;ESPAÑA;ACE
GRAN CANARIA;LPA;      D;09/01/2022;20/03/2022;13:15;AT7;  IBB517;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJ S ;01/03/2022;26/03/2022;13:15;AT7;  IBB517;ESPAÑA;ACE
GRAN CANARIA;LPA;    V  ;14/01/2022;25/03/2022;13:45;AT7;  IBB507;ESPAÑA;ACE
GRAN CANARIA;LPA;L      ;01/11/2021;21/03/2022;14:30;AT7;  IBB511;ESPAÑA;ACE
GRAN CANARIA;LPA; MXJVSD;01/03/2022;26/03/2022;14:30;AT7;  IBB511;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJ  D;01/03/2022;24/03/2022;15:15;AT7;  IBB515;ESPAÑA;ACE
GRAN CANARIA;LPA;LM    D;31/10/2021;22/03/2022;15:45;AT7;  IBB519;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJVSD;31/10/2021;26/03/2022;15:45;AT7;  CNF732;ESPAÑA;ACE
GRAN CANARIA;LPA;  X    ;15/12/2021;23/03/2022;15:45;AT7;  IBB519;ESPAÑA;ACE
GRAN CANARIA;LPA;   JV  ;07/01/2022;25/03/2022;15:45;AT7;  IBB519;ESPAÑA;ACE
GRAN CANARIA;LPA;     S ;05/03/2022;26/03/2022;15:45;AT7;  IBB519;ESPAÑA;ACE
GRAN CANARIA;LPA;   J  D;31/10/2021;24/03/2022;17:00;AT7;  IBB523;ESPAÑA;ACE
GRAN CANARIA;LPA;LM     ;13/12/2021;22/03/2022;17:00;AT7;  IBB523;ESPAÑA;ACE
GRAN CANARIA;LPA;  X    ;12/01/2022;23/03/2022;17:00;AT7;  IBB523;ESPAÑA;ACE
GRAN CANARIA;LPA;    V  ;25/02/2022;25/03/2022;17:00;AT7;  IBB523;ESPAÑA;ACE
GRAN CANARIA;LPA;     S ;05/03/2022;26/03/2022;17:00;AT7;  IBB523;ESPAÑA;ACE
