num_vuelo;dia_sem;destino;codigo;hora_salida;aeronave;pais;origen
  VLG3255;2022-03-13;SEVILLA;SVQ;14:15;320;ESPANIA;TFN
  VLG3255;2022-03-11;SEVILLA;SVQ;14:15;320;ESPANIA;TFN
  RYR6585;2022-03-08;SEVILLA;SVQ;15:55;73H;ESPANIA;TFN
  RYR6585;2022-03-10;SEVILLA;SVQ;15:55;73H;ESPANIA;TFN
  RYR6585;2022-03-12;SEVILLA;SVQ;16:30;73H;ESPANIA;TFN
  RYR4465;2022-03-07;VALENCIA;VLC;9:20;73H;ESPANIA;TFN
  RYR4465;2022-03-13;VALENCIA;VLC;12:00;73H;ESPANIA;TFN
  IBE8583;2022-03-12;VALENCIA;VLC;13:05;CRK;ESPANIA;TFN
  VLG3103;2022-03-07;VALENCIA;VLC;14:45;320;ESPANIA;TFN
  VLG3103;2022-03-10;VALENCIA;VLC;15:15;320;ESPANIA;TFN
  VLG3103;2022-03-12;VALENCIA;VLC;15:15;320;ESPANIA;TFN
  RYR4465;2022-03-09;VALENCIA;VLC;20:15;73H;ESPANIA;TFN
  IBB5250;2022-03-12;VIGO;VGO;8:15;295;ESPANIA;TFN
  IBB5250;2022-03-10;VIGO;VGO;15:30;295;ESPANIA;TFN
  IBB5860;2022-03-13;VITORIA;VIT;15:45;295;ESPANIA;TFN
  VLG3112;2022-03-12;ZARAGOZA;ZAZ;7:10;320;ESPANIA;TFN
  VLG3112;2022-03-09;ZARAGOZA;ZAZ;15:05;320;ESPANIA;TFN
  VLG3215;2022-03-13;BARCELONA-EL PRAT J.T.;BCN;7:00;320;ESPANIA;TFN
  VLG3215;2022-03-12;BARCELONA-EL PRAT J.T.;BCN;7:00;320;ESPANIA;TFN
  VLG3215;2022-03-09;BARCELONA-EL PRAT J.T.;BCN;7:00;320;ESPANIA;TFN
  VLG3215;2022-03-08;BARCELONA-EL PRAT J.T.;BCN;7:00;320;ESPANIA;TFN
  VLG3215;2022-03-07;BARCELONA-EL PRAT J.T.;BCN;7:00;320;ESPANIA;TFN
  RYR3064;2022-03-13;BARCELONA-EL PRAT J.T.;BCN;9:20;73H;ESPANIA;TFN
  RYR3064;2022-03-12;BARCELONA-EL PRAT J.T.;BCN;9:20;73H;ESPANIA;TFN
  RYR3064;2022-03-10;BARCELONA-EL PRAT J.T.;BCN;9:30;73H;ESPANIA;TFN
  RYR3064;2022-03-09;BARCELONA-EL PRAT J.T.;BCN;9:30;73H;ESPANIA;TFN
  VLG3219;2022-03-13;BARCELONA-EL PRAT J.T.;BCN;11:05;320;ESPANIA;TFN
  VLG3219;2022-03-11;BARCELONA-EL PRAT J.T.;BCN;11:05;320;ESPANIA;TFN
  VLG3219;2022-03-10;BARCELONA-EL PRAT J.T.;BCN;11:05;320;ESPANIA;TFN
  VLG3219;2022-03-09;BARCELONA-EL PRAT J.T.;BCN;11:05;320;ESPANIA;TFN
  VLG3219;2022-03-08;BARCELONA-EL PRAT J.T.;BCN;11:05;320;ESPANIA;TFN
  VLG3219;2022-03-07;BARCELONA-EL PRAT J.T.;BCN;11:05;320;ESPANIA;TFN
  VLG3217;2022-03-13;BARCELONA-EL PRAT J.T.;BCN;15:00;320;ESPANIA;TFN
  VLG3217;2022-03-12;BARCELONA-EL PRAT J.T.;BCN;15:00;320;ESPANIA;TFN
  VLG3217;2022-03-10;BARCELONA-EL PRAT J.T.;BCN;15:00;320;ESPANIA;TFN
  VLG3217;2022-03-09;BARCELONA-EL PRAT J.T.;BCN;15:00;320;ESPANIA;TFN
  VLG3217;2022-03-07;BARCELONA-EL PRAT J.T.;BCN;15:00;320;ESPANIA;TFN
  VLG3213;2022-03-10;BARCELONA-EL PRAT J.T.;BCN;20:45;320;ESPANIA;TFN
  VLG3213;2022-03-07;BARCELONA-EL PRAT J.T.;BCN;20:45;320;ESPANIA;TFN
  VLG3213;2022-03-13;BARCELONA-EL PRAT J.T.;BCN;20:45;320;ESPANIA;TFN
  VLG3213;2022-03-12;BARCELONA-EL PRAT J.T.;BCN;20:45;320;ESPANIA;TFN
  VLG3261;2022-03-09;BILBAO;BIO;9:55;320;ESPANIA;TFN
  VLG3261;2022-03-07;BILBAO;BIO;9:55;320;ESPANIA;TFN
  AEA7007;2022-03-12;BILBAO;BIO;14:25;73H;ESPANIA;TFN
  AEA7007;2022-03-09;BILBAO;BIO;14:25;73H;ESPANIA;TFN
  VLG1864;2022-03-13;COPENHAGUE;CPH;9:00;320;DINAMARCA;TFN
  VLG1864;2022-03-09;COPENHAGUE;CPH;9:00;320;DINAMARCA;TFN
  IBB655;2022-03-13;EL HIERRO / VALVERDE;VDE;7:55;AT7;ESPANIA;TFN
  IBB655;2022-03-12;EL HIERRO / VALVERDE;VDE;7:55;AT7;ESPANIA;TFN
  IBB655;2022-03-11;EL HIERRO / VALVERDE;VDE;7:55;AT7;ESPANIA;TFN
  IBB655;2022-03-10;EL HIERRO / VALVERDE;VDE;7:55;AT7;ESPANIA;TFN
  IBB655;2022-03-09;EL HIERRO / VALVERDE;VDE;7:55;AT7;ESPANIA;TFN
  IBB655;2022-03-08;EL HIERRO / VALVERDE;VDE;7:55;AT7;ESPANIA;TFN
  IBB655;2022-03-07;EL HIERRO / VALVERDE;VDE;7:55;AT7;ESPANIA;TFN
  IBB659;2022-03-13;EL HIERRO / VALVERDE;VDE;10:00;AT7;ESPANIA;TFN
  IBB659;2022-03-12;EL HIERRO / VALVERDE;VDE;10:00;AT7;ESPANIA;TFN
  IBB659;2022-03-11;EL HIERRO / VALVERDE;VDE;10:00;AT7;ESPANIA;TFN
  IBB659;2022-03-10;EL HIERRO / VALVERDE;VDE;10:00;AT7;ESPANIA;TFN
  IBB659;2022-03-08;EL HIERRO / VALVERDE;VDE;10:00;AT7;ESPANIA;TFN
  IBB659;2022-03-07;EL HIERRO / VALVERDE;VDE;10:00;AT7;ESPANIA;TFN
  IBB667;2022-03-13;EL HIERRO / VALVERDE;VDE;11:00;AT7;ESPANIA;TFN
  IBB667;2022-03-11;EL HIERRO / VALVERDE;VDE;11:00;AT7;ESPANIA;TFN
  IBB667;2022-03-07;EL HIERRO / VALVERDE;VDE;11:00;AT7;ESPANIA;TFN
  CNF247;2022-03-13;EL HIERRO / VALVERDE;VDE;11:45;AT7;ESPANIA;TFN
  CNF247;2022-03-11;EL HIERRO / VALVERDE;VDE;11:45;AT7;ESPANIA;TFN
  IBB657;2022-03-13;EL HIERRO / VALVERDE;VDE;12:20;AT7;ESPANIA;TFN
  IBB657;2022-03-12;EL HIERRO / VALVERDE;VDE;12:20;AT7;ESPANIA;TFN
  IBB657;2022-03-11;EL HIERRO / VALVERDE;VDE;12:20;AT7;ESPANIA;TFN
  IBB657;2022-03-10;EL HIERRO / VALVERDE;VDE;12:20;AT7;ESPANIA;TFN
  IBB657;2022-03-09;EL HIERRO / VALVERDE;VDE;12:20;AT7;ESPANIA;TFN
  IBB657;2022-03-08;EL HIERRO / VALVERDE;VDE;12:20;AT7;ESPANIA;TFN
  IBB657;2022-03-07;EL HIERRO / VALVERDE;VDE;12:20;AT7;ESPANIA;TFN
  IBB663;2022-03-13;EL HIERRO / VALVERDE;VDE;14:35;AT7;ESPANIA;TFN
  IBB663;2022-03-12;EL HIERRO / VALVERDE;VDE;14:35;AT7;ESPANIA;TFN
  IBB663;2022-03-10;EL HIERRO / VALVERDE;VDE;14:35;AT7;ESPANIA;TFN
  IBB663;2022-03-08;EL HIERRO / VALVERDE;VDE;14:35;AT7;ESPANIA;TFN
  IBB663;2022-03-07;EL HIERRO / VALVERDE;VDE;14:35;AT7;ESPANIA;TFN
  IBB663;2022-03-11;EL HIERRO / VALVERDE;VDE;14:35;AT7;ESPANIA;TFN
  IBB663;2022-03-09;EL HIERRO / VALVERDE;VDE;14:35;AT7;ESPANIA;TFN
  IBB673;2022-03-13;EL HIERRO / VALVERDE;VDE;16:45;AT7;ESPANIA;TFN
  IBB673;2022-03-12;EL HIERRO / VALVERDE;VDE;16:45;AT7;ESPANIA;TFN
  IBB673;2022-03-11;EL HIERRO / VALVERDE;VDE;16:45;AT7;ESPANIA;TFN
  IBB673;2022-03-10;EL HIERRO / VALVERDE;VDE;16:45;AT7;ESPANIA;TFN
  IBB673;2022-03-09;EL HIERRO / VALVERDE;VDE;16:45;AT7;ESPANIA;TFN
  IBB673;2022-03-08;EL HIERRO / VALVERDE;VDE;16:45;AT7;ESPANIA;TFN
  IBB673;2022-03-07;EL HIERRO / VALVERDE;VDE;16:45;AT7;ESPANIA;TFN
  VLG3116;2022-03-10;F.G.L. GRANADA - JAEN;GRX;16:15;320;ESPANIA;TFN
  VLG3116;2022-03-07;F.G.L. GRANADA - JAEN;GRX;16:15;320;ESPANIA;TFN
  IBB414;2022-03-13;FUERTEVENTURA;FUE;7:10;AT7;ESPANIA;TFN
  IBB414;2022-03-12;FUERTEVENTURA;FUE;7:10;AT7;ESPANIA;TFN
  IBB414;2022-03-11;FUERTEVENTURA;FUE;7:10;AT7;ESPANIA;TFN
  IBB414;2022-03-10;FUERTEVENTURA;FUE;7:10;AT7;ESPANIA;TFN
  IBB414;2022-03-09;FUERTEVENTURA;FUE;7:10;AT7;ESPANIA;TFN
  IBB414;2022-03-08;FUERTEVENTURA;FUE;7:10;AT7;ESPANIA;TFN
  IBB414;2022-03-07;FUERTEVENTURA;FUE;7:10;AT7;ESPANIA;TFN
  IBB422;2022-03-11;FUERTEVENTURA;FUE;10:10;AT7;ESPANIA;TFN
  IBB422;2022-03-08;FUERTEVENTURA;FUE;10:10;AT7;ESPANIA;TFN
  IBB422;2022-03-07;FUERTEVENTURA;FUE;10:10;AT7;ESPANIA;TFN
  IBB422;2022-03-13;FUERTEVENTURA;FUE;10:10;AT7;ESPANIA;TFN
  IBB422;2022-03-12;FUERTEVENTURA;FUE;10:10;AT7;ESPANIA;TFN
  IBB422;2022-03-10;FUERTEVENTURA;FUE;10:10;AT7;ESPANIA;TFN
  IBB432;2022-03-10;FUERTEVENTURA;FUE;13:20;AT7;ESPANIA;TFN
  IBB432;2022-03-07;FUERTEVENTURA;FUE;13:20;AT7;ESPANIA;TFN
  IBB420;2022-03-13;FUERTEVENTURA;FUE;14:10;AT7;ESPANIA;TFN
  IBB420;2022-03-12;FUERTEVENTURA;FUE;14:10;AT7;ESPANIA;TFN
  IBB420;2022-03-11;FUERTEVENTURA;FUE;14:10;AT7;ESPANIA;TFN
  IBB420;2022-03-10;FUERTEVENTURA;FUE;14:10;AT7;ESPANIA;TFN
  IBB420;2022-03-09;FUERTEVENTURA;FUE;14:10;AT7;ESPANIA;TFN
  IBB420;2022-03-08;FUERTEVENTURA;FUE;14:10;AT7;ESPANIA;TFN
  IBB420;2022-03-07;FUERTEVENTURA;FUE;14:10;AT7;ESPANIA;TFN
  CNF374;2022-03-12;FUERTEVENTURA;FUE;15:20;AT7;ESPANIA;TFN
  CNF374;2022-03-10;FUERTEVENTURA;FUE;15:20;AT7;ESPANIA;TFN
  CNF374;2022-03-09;FUERTEVENTURA;FUE;15:20;AT7;ESPANIA;TFN
  CNF374;2022-03-08;FUERTEVENTURA;FUE;15:20;AT7;ESPANIA;TFN
  CNF374;2022-03-07;FUERTEVENTURA;FUE;15:20;AT7;ESPANIA;TFN
  IBB426;2022-03-12;FUERTEVENTURA;FUE;16:40;AT7;ESPANIA;TFN
  IBB426;2022-03-10;FUERTEVENTURA;FUE;16:40;AT7;ESPANIA;TFN
  IBB426;2022-03-09;FUERTEVENTURA;FUE;16:40;AT7;ESPANIA;TFN
  IBB426;2022-03-08;FUERTEVENTURA;FUE;16:40;AT7;ESPANIA;TFN
  IBB426;2022-03-07;FUERTEVENTURA;FUE;16:40;AT7;ESPANIA;TFN
  CNF374;2022-03-13;FUERTEVENTURA;FUE;16:45;AT7;ESPANIA;TFN
  CNF374;2022-03-11;FUERTEVENTURA;FUE;16:45;AT7;ESPANIA;TFN
  IBB428;2022-03-13;FUERTEVENTURA;FUE;19:20;AT7;ESPANIA;TFN
  IBB428;2022-03-12;FUERTEVENTURA;FUE;19:20;AT7;ESPANIA;TFN
  IBB428;2022-03-10;FUERTEVENTURA;FUE;19:20;AT7;ESPANIA;TFN
  IBB428;2022-03-09;FUERTEVENTURA;FUE;19:20;AT7;ESPANIA;TFN
  IBB428;2022-03-08;FUERTEVENTURA;FUE;19:20;AT7;ESPANIA;TFN
  IBB428;2022-03-07;FUERTEVENTURA;FUE;19:20;AT7;ESPANIA;TFN
  IBB106;2022-03-12;GRAN CANARIA;LPA;7:00;295;ESPANIA;TFN
  IBB106;2022-03-11;GRAN CANARIA;LPA;7:00;295;ESPANIA;TFN
  IBB106;2022-03-10;GRAN CANARIA;LPA;7:00;295;ESPANIA;TFN
  IBB106;2022-03-08;GRAN CANARIA;LPA;7:00;295;ESPANIA;TFN
  IBB106;2022-03-07;GRAN CANARIA;LPA;7:00;295;ESPANIA;TFN
  IBB100;2022-03-10;GRAN CANARIA;LPA;7:30;AT7;ESPANIA;TFN
  IBB100;2022-03-08;GRAN CANARIA;LPA;7:30;AT7;ESPANIA;TFN
  IBB102;2022-03-13;GRAN CANARIA;LPA;8:00;AT7;ESPANIA;TFN
  IBB102;2022-03-12;GRAN CANARIA;LPA;8:00;AT7;ESPANIA;TFN
  IBB102;2022-03-11;GRAN CANARIA;LPA;8:00;AT7;ESPANIA;TFN
  IBB102;2022-03-10;GRAN CANARIA;LPA;8:00;AT7;ESPANIA;TFN
  IBB104;2022-03-10;GRAN CANARIA;LPA;8:30;AT7;ESPANIA;TFN
  IBB104;2022-03-08;GRAN CANARIA;LPA;8:30;AT7;ESPANIA;TFN
  IBB108;2022-03-13;GRAN CANARIA;LPA;9:00;AT7;ESPANIA;TFN
  IBB108;2022-03-12;GRAN CANARIA;LPA;9:00;AT7;ESPANIA;TFN
  IBB108;2022-03-10;GRAN CANARIA;LPA;9:00;AT7;ESPANIA;TFN
  IBB108;2022-03-08;GRAN CANARIA;LPA;9:00;AT7;ESPANIA;TFN
  IBB108;2022-03-11;GRAN CANARIA;LPA;9:00;AT7;ESPANIA;TFN
  IBB108;2022-03-09;GRAN CANARIA;LPA;9:00;AT7;ESPANIA;TFN
