num_vuelo;dia_sem;destino;codigo;hora_salida;aeronave;pais;origen
  IBB231;2022-03-07;GRAN CANARIA;LPA;19:50;AT7;ESPANIA;FUE
  IBB231;2022-03-08;GRAN CANARIA;LPA;19:50;AT7;ESPANIA;FUE
  CFG1441;2022-03-08;HAMBURGO/ FUHLSBUETTEL;HAM;15:15;320;ALEMANIA;FUE
  CFG1441;2022-03-07;HAMBURGO/ FUHLSBUETTEL;HAM;15:25;320;ALEMANIA;FUE
  EWG9557;2022-03-07;HAMBURGO/ FUHLSBUETTEL;HAM;16:05;32A;ALEMANIA;FUE
  TUI2149;2022-03-07;HANNOVER;HAJ;17:30;7S8;ALEMANIA;FUE
  CXI2228;2022-03-08;HANNOVER;HAJ;20:30;73H;ALEMANIA;FUE
  ENT7322;2022-03-07;KATOWICE / PYRZOWICE;KTW;15:00;738;POLONIA;FUE
  EXS250;2022-03-08;LEEDS /LEEDS-BRADFORD;LBA;14:45;73H;REINO-UNIDO;FUE
  CFG1461;2022-03-08;LEIPZIG;LEJ;14:35;32B;ALEMANIA;FUE
  EZY2292;2022-03-08;LONDRES /LUTON APT;LTN;12:10;320;REINO-UNIDO;FUE
  EZY8538;2022-03-08;LONDRES/GATWICK;LGW;18:50;32Q;REINO-UNIDO;FUE
  RYR5491;2022-03-08;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;9:10;73H;ESPANIA;FUE
