num_vuelo;dia_sem;destino;codigo;hora_salida;aeronave;pais;origen
  BAW2733;2022-03-11;LONDRES / HEATHROW;LHR;12:15;320;REINO-UNIDO;ACE
  BAW2733;2022-03-10;LONDRES / HEATHROW;LHR;12:15;320;REINO-UNIDO;ACE
  BAW2733;2022-03-09;LONDRES / HEATHROW;LHR;12:15;320;REINO-UNIDO;ACE
  BAW2733;2022-03-13;LONDRES / HEATHROW;LHR;13:05;32N;REINO-UNIDO;ACE
  BAW2733;2022-03-12;LONDRES / HEATHROW;LHR;13:40;32N;REINO-UNIDO;ACE
  EZY2026;2022-03-10;LONDRES /LUTON APT;LTN;11:50;320;REINO-UNIDO;ACE
  EZY2026;2022-03-07;LONDRES /LUTON APT;LTN;17:05;320;REINO-UNIDO;ACE
  RYR3512;2022-03-08;LONDRES /LUTON APT;LTN;17:40;73H;REINO-UNIDO;ACE
  EZY2026;2022-03-09;LONDRES /LUTON APT;LTN;17:55;320;REINO-UNIDO;ACE
  RYR3512;2022-03-12;LONDRES /LUTON APT;LTN;19:10;73H;REINO-UNIDO;ACE
  EZY2026;2022-03-12;LONDRES /LUTON APT;LTN;20:00;320;REINO-UNIDO;ACE
  RYR8289;2022-03-10;LONDRES /STANSTED;STN;11:15;7M8;REINO-UNIDO;ACE
  RYR8289;2022-03-08;LONDRES /STANSTED;STN;11:55;7M8;REINO-UNIDO;ACE
  RYR8289;2022-03-13;LONDRES /STANSTED;STN;12:05;7M8;REINO-UNIDO;ACE
  EXS1402;2022-03-12;LONDRES /STANSTED;STN;12:10;73H;REINO-UNIDO;ACE
  RYR8289;2022-03-12;LONDRES /STANSTED;STN;12:10;7M8;REINO-UNIDO;ACE
  EXS1402;2022-03-13;LONDRES /STANSTED;STN;12:10;73H;REINO-UNIDO;ACE
  RYR8289;2022-03-11;LONDRES /STANSTED;STN;12:20;7M8;REINO-UNIDO;ACE
  EXS1402;2022-03-10;LONDRES /STANSTED;STN;15:25;73H;REINO-UNIDO;ACE
