num_vuelo;dia_sem;destino;codigo;opera_desde;opera_hasta;hora_salida;aeronave;pais;origen;num_asientos;ocupacion;total_encuestas;consumo
  VLG3224;2022-03-07 00:00:00;SANTIAGO-ROSALÍA DE CASTRO;SCQ;2022-03-07;2022-03-21;7:20;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3222;2022-03-11 00:00:00;SANTIAGO-ROSALÍA DE CASTRO;SCQ;2022-02-11;2022-03-25;9:30;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3222;2022-03-09 00:00:00;SANTIAGO-ROSALÍA DE CASTRO;SCQ;2022-01-26;2022-03-23;14:30;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3257;2022-03-09 00:00:00;SEVILLA;SVQ;2022-01-12;2022-03-23;8:45;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3257;2022-03-11 00:00:00;SEVILLA;SVQ;2022-01-28;2022-03-25;8:45;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3257;2022-03-12 00:00:00;SEVILLA;SVQ;2022-03-12;2022-03-26;8:45;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3255;2022-03-10 00:00:00;SEVILLA;SVQ;2022-02-03;2022-03-24;13:45;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3255;2022-03-13 00:00:00;SEVILLA;SVQ;2022-01-16;2022-03-20;14:15;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3255;2022-03-11 00:00:00;SEVILLA;SVQ;2022-02-04;2022-03-25;14:15;320;ESPANIA;TFN;180;144;87;00:43:30
  RYR6585;2022-03-08 00:00:00;SEVILLA;SVQ;2021-11-02;2022-03-22;15:55;73H;ESPANIA;TFN;189;152;92;00:46:00
  RYR6585;2022-03-10 00:00:00;SEVILLA;SVQ;2022-03-03;2022-03-24;15:55;73H;ESPANIA;TFN;189;152;92;00:46:00
  RYR6585;2022-03-12 00:00:00;SEVILLA;SVQ;2022-01-01;2022-03-26;16:30;73H;ESPANIA;TFN;189;152;92;00:46:00
  RYR4465;2022-03-07 00:00:00;VALENCIA;VLC;2022-03-07;2022-03-21;9:20;73H;ESPANIA;TFN;189;152;92;00:46:00
  RYR4465;2022-03-13 00:00:00;VALENCIA;VLC;2021-10-31;2022-03-20;12:00;73H;ESPANIA;TFN;189;152;92;00:46:00
  IBE8583;2022-03-12 00:00:00;VALENCIA;VLC;2022-02-26;2022-03-26;13:05;CRK;ESPANIA;TFN;50;40;24;00:12:00
  VLG3103;2022-03-07 00:00:00;VALENCIA;VLC;2022-03-07;2022-03-21;14:45;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3103;2022-03-10 00:00:00;VALENCIA;VLC;2022-03-03;2022-03-10;15:15;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3103;2022-03-12 00:00:00;VALENCIA;VLC;2022-03-05;2022-03-26;15:15;320;ESPANIA;TFN;180;144;87;00:43:30
  RYR4465;2022-03-09 00:00:00;VALENCIA;VLC;2021-11-03;2022-03-23;20:15;73H;ESPANIA;TFN;189;152;92;00:46:00
  IBB5250;2022-03-12 00:00:00;VIGO;VGO;2021-12-04;2022-03-26;8:15;295;ESPANIA;TFN;200;160;96;00:48:00
  IBB5250;2022-03-10 00:00:00;VIGO;VGO;2022-01-06;2022-03-24;15:30;295;ESPANIA;TFN;200;160;96;00:48:00
  IBB5860;2022-03-13 00:00:00;VITORIA;VIT;2022-02-20;2022-03-20;15:45;295;ESPANIA;TFN;200;160;96;00:48:00
  VLG3112;2022-03-12 00:00:00;ZARAGOZA;ZAZ;2022-03-05;2022-03-12;7:10;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3112;2022-03-09 00:00:00;ZARAGOZA;ZAZ;2022-03-02;2022-03-23;15:05;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3215;2022-03-13 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-03-05;2022-03-21;7:00;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3215;2022-03-12 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-03-05;2022-03-21;7:00;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3215;2022-03-09 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-03-05;2022-03-21;7:00;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3215;2022-03-08 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-03-05;2022-03-21;7:00;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3215;2022-03-07 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-03-05;2022-03-21;7:00;320;ESPANIA;TFN;180;144;87;00:43:30
  RYR3064;2022-03-13 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-01-02;2022-03-26;9:20;73H;ESPANIA;TFN;189;152;92;00:46:00
  RYR3064;2022-03-12 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-01-02;2022-03-26;9:20;73H;ESPANIA;TFN;189;152;92;00:46:00
  RYR3064;2022-03-10 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2021-11-03;2022-03-24;9:30;73H;ESPANIA;TFN;189;152;92;00:46:00
  RYR3064;2022-03-09 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2021-11-03;2022-03-24;9:30;73H;ESPANIA;TFN;189;152;92;00:46:00
  VLG3219;2022-03-13 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-02-14;2022-03-25;11:05;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3219;2022-03-11 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-02-14;2022-03-25;11:05;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3219;2022-03-10 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-02-14;2022-03-25;11:05;320;ESPANIA;TFN;180;144;87;00:43:30
