;;Destino;Codigo;Dia_semana;Opera_desde;Opera_hasta;Hora_Salida;Aeronave;Num_vuelo;Pais;Escala;Origen
W21;Destino;GRAN CANARIA;LPA;    V  ;14/01/2022;25/03/2022;13:45;AT7;  IBB507;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;L      ;01/11/2021;21/03/2022;14:30;AT7;  IBB511;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA; MXJVSD;01/03/2022;26/03/2022;14:30;AT7;  IBB511;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;LMXJ  D;01/03/2022;24/03/2022;15:15;AT7;  IBB515;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;LM    D;31/10/2021;22/03/2022;15:45;AT7;  IBB519;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;LMXJVSD;31/10/2021;26/03/2022;15:45;AT7;  CNF732;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;  X    ;15/12/2021;23/03/2022;15:45;AT7;  IBB519;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;   JV  ;07/01/2022;25/03/2022;15:45;AT7;  IBB519;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;     S ;05/03/2022;26/03/2022;15:45;AT7;  IBB519;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;   J  D;31/10/2021;24/03/2022;17:00;AT7;  IBB523;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;LM     ;13/12/2021;22/03/2022;17:00;AT7;  IBB523;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;  X    ;12/01/2022;23/03/2022;17:00;AT7;  IBB523;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;    V  ;25/02/2022;25/03/2022;17:00;AT7;  IBB523;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;     S ;05/03/2022;26/03/2022;17:00;AT7;  IBB523;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;    V  ;05/11/2021;25/03/2022;18:15;AT7;  IBB525;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;LMXJ SD;01/03/2022;26/03/2022;18:15;AT7;  IBB525;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;   JV D;03/03/2022;25/03/2022;18:45;AT7;  IBB533;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;    V  ;07/01/2022;25/03/2022;19:30;AT7;  IBB531;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;LMXJ SD;01/03/2022;26/03/2022;19:30;AT7;  IBB531;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;LMXJVSD;31/10/2021;26/03/2022;20:45;AT7;  CNF784;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;    V D;04/03/2022;25/03/2022;20:45;AT7;  IBB535;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;     S ;05/03/2022;26/03/2022;21:30;AT7;  IBB537;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;LMXJ   ;01/03/2022;24/03/2022;21:45;AT7;  IBB537;ESPAÑA;;ACE
W21;Destino;GRAN CANARIA;LPA;    V D;04/03/2022;25/03/2022;21:55;AT7;  IBB537;ESPAÑA;;ACE
